EmployeeID,Age,Resigned,BusinessTravel,BusinessUnit,EducationLevel,Gender,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,AverageWeeklyHoursWorked,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInRole,YearsSinceLastPromotion,YearsWithCurrManager
9179,38,No,Non-Travel,Consultants,3,Female,4,Divorced,5329,7,Yes,12,3,49.0,17,3,3,13,11,1,9
7482,34,No,Travel_Rarely,Consultants,2,Male,2,Married,4325,1,No,15,3,40.0,5,2,3,5,2,1,3
8517,56,No,Travel_Rarely,Consultants,3,Male,4,Single,7260,4,No,11,3,40.0,37,3,2,6,4,0,2
3340,23,No,Travel_Rarely,Sales,1,Male,1,Divorced,2322,3,No,13,3,40.0,3,3,3,0,0,0,0
5339,51,No,Travel_Rarely,Consultants,4,Male,4,Married,2075,3,No,23,4,40.0,10,4,3,4,2,0,3
3287,30,No,Travel_Rarely,Consultants,3,Male,4,Married,4152,1,No,19,3,40.0,11,3,3,11,10,10,8
5040,46,Yes,Travel_Rarely,Sales,2,Male,4,Single,9619,1,No,16,3,40.0,9,3,3,9,8,4,7
9830,40,No,Travel_Frequently,Consultants,4,Male,2,Married,13503,1,No,22,4,40.0,22,3,2,22,3,11,11
5304,51,No,Travel_Rarely,Sales,4,Male,4,Single,5441,0,Yes,22,4,66.0,11,2,1,10,7,1,0
8019,30,No,Travel_Rarely,Sales,2,Female,2,Divorced,5209,1,Yes,12,3,52.0,11,4,2,11,8,2,7
7543,46,No,Travel_Frequently,Consultants,3,Male,1,Married,10673,2,Yes,13,3,51.0,21,5,2,10,9,9,5
6930,32,No,Travel_Rarely,Sales,4,Male,3,Single,5010,1,No,16,3,40.0,12,0,3,11,8,5,7
4593,54,No,Travel_Rarely,Consultants,4,Female,3,Married,13549,9,No,12,3,40.0,16,5,1,4,3,0,3
3266,24,No,Travel_Rarely,Sales,2,Female,3,Married,4999,0,No,21,4,40.0,4,2,2,3,2,0,2
9348,28,No,Non-Travel,Sales,3,Male,3,Married,4221,1,No,15,3,40.0,5,3,4,5,4,0,4
9085,58,No,Travel_Rarely,Sales,4,Male,3,Single,13872,0,No,13,3,40.0,38,1,2,37,10,1,8
2489,44,No,Non-Travel,Consultants,3,Male,2,Married,2042,4,No,12,3,40.0,17,3,4,3,2,1,2
1771,37,Yes,Travel_Rarely,Business Operations,4,Male,1,Divorced,2073,4,Yes,22,4,51.0,7,3,3,3,2,0,2
2796,32,No,Travel_Rarely,Consultants,1,Male,1,Single,2956,1,No,13,3,40.0,1,2,3,1,0,0,0
3504,20,Yes,Travel_Frequently,Consultants,3,Female,4,Single,2926,1,Yes,18,3,51.0,1,5,3,1,0,1,0
3621,34,No,Travel_Rarely,Consultants,4,Female,3,Single,4809,1,No,14,3,40.0,16,3,3,16,13,2,10
7916,37,No,Non-Travel,Consultants,2,Male,4,Divorced,5163,5,No,14,3,40.0,17,2,4,1,0,0,0
2040,59,No,Non-Travel,Business Operations,4,Female,4,Married,18844,9,No,21,4,40.0,30,3,3,3,2,2,2
7304,50,No,Travel_Frequently,Consultants,3,Female,2,Married,18172,3,Yes,19,3,51.0,28,1,2,8,3,0,7
7252,25,Yes,Travel_Rarely,Sales,3,Male,3,Single,5744,1,Yes,11,3,50.0,6,1,3,6,4,0,3
8668,25,No,Travel_Rarely,Consultants,1,Male,4,Married,2889,1,No,11,3,40.0,2,2,3,2,2,2,1
9669,22,No,Travel_Rarely,Consultants,3,Female,4,Single,2871,1,No,15,3,40.0,1,5,3,0,0,0,0
5119,51,No,Travel_Frequently,Consultants,4,Female,1,Single,7484,3,No,20,4,40.0,23,1,2,13,12,12,8
1188,34,Yes,Travel_Frequently,Consultants,3,Male,3,Single,6074,1,Yes,24,4,52.0,9,3,3,9,7,0,6
2876,54,No,Non-Travel,Business Operations,3,Female,4,Single,17328,2,Yes,12,3,47.0,23,3,3,5,3,4,4
9797,24,No,Travel_Rarely,Consultants,1,Male,3,Married,2774,0,No,12,3,40.0,6,2,3,5,3,1,2
5371,34,No,Travel_Rarely,Consultants,4,Female,2,Divorced,4505,6,No,15,3,40.0,12,3,3,1,0,0,0
6573,37,No,Travel_Rarely,Sales,3,Male,4,Single,7428,2,No,12,3,40.0,12,3,3,5,3,1,3
2827,34,No,Travel_Rarely,Consultants,3,Female,1,Single,11631,2,No,12,3,40.0,14,6,3,11,10,5,8
5808,36,No,Travel_Frequently,Sales,2,Female,4,Married,9738,0,No,14,3,40.0,10,6,3,9,7,2,8
8123,36,No,Travel_Rarely,Consultants,2,Female,4,Divorced,2835,5,No,22,4,40.0,7,2,3,1,0,0,0
3591,43,No,Travel_Frequently,Sales,2,Male,4,Married,16959,1,Yes,12,3,46.0,25,3,4,25,12,4,12
8433,30,No,Travel_Frequently,Consultants,3,Male,3,Divorced,2613,1,No,25,4,40.0,10,2,2,10,7,0,9
1053,33,No,Non-Travel,Sales,2,Male,2,Married,6146,0,No,13,3,40.0,8,2,4,7,7,0,7
5315,56,Yes,Travel_Rarely,Consultants,4,Female,2,Married,4963,9,Yes,18,3,51.0,7,2,3,5,4,4,3
9201,51,No,Travel_Rarely,Consultants,3,Male,3,Single,19537,7,No,13,3,40.0,23,5,3,20,18,15,15
3927,31,Yes,Travel_Rarely,Sales,4,Male,3,Married,6172,4,Yes,18,3,57.0,12,3,2,7,7,7,7
9317,26,No,Travel_Rarely,Consultants,3,Female,2,Married,2368,1,No,19,3,40.0,5,3,2,5,4,4,3
2743,58,Yes,Travel_Rarely,Consultants,4,Female,4,Married,10312,1,No,12,3,40.0,40,3,2,40,10,15,6
5889,19,Yes,Travel_Rarely,Sales,1,Male,3,Single,1675,1,Yes,19,3,54.0,0,2,2,0,0,0,0
9873,22,No,Travel_Rarely,Consultants,1,Male,4,Married,2523,0,No,14,3,40.0,3,2,3,2,1,2,1
4258,49,No,Travel_Rarely,Consultants,4,Female,1,Married,6567,1,No,14,3,40.0,16,2,2,15,11,5,11
9896,43,No,Travel_Frequently,Consultants,3,Female,3,Single,4739,4,No,12,3,40.0,18,2,3,3,2,1,2
7126,50,No,Travel_Frequently,Sales,3,Female,4,Single,9208,4,No,11,3,40.0,16,3,3,2,2,2,1
3646,31,Yes,Travel_Rarely,Sales,3,Female,3,Married,4559,3,Yes,11,3,50.0,4,2,3,2,2,2,2
9837,41,No,Travel_Rarely,Sales,1,Male,3,Divorced,8189,3,Yes,13,3,49.0,12,2,3,9,7,0,7
9689,26,No,Travel_Rarely,Business Operations,1,Female,3,Married,2942,1,No,23,4,40.0,8,3,3,8,7,5,7
1009,36,No,Travel_Rarely,Consultants,2,Male,2,Divorced,4941,6,No,20,4,40.0,7,0,3,3,2,0,1
6310,51,Yes,Travel_Frequently,Consultants,4,Male,4,Single,10650,2,No,15,3,40.0,18,2,3,4,2,0,3
9005,39,No,Travel_Rarely,Sales,4,Female,3,Married,5902,4,No,14,3,40.0,17,1,4,15,11,5,9
1319,25,No,Travel_Rarely,Sales,3,Male,3,Married,8639,2,No,18,3,40.0,6,3,3,2,2,2,2
2832,30,No,Travel_Rarely,Business Operations,3,Male,4,Married,6347,0,Yes,19,3,69.0,12,2,1,11,9,4,7
6947,32,Yes,Travel_Rarely,Consultants,3,Female,1,Single,4200,7,No,22,4,40.0,10,2,4,5,4,0,4
6038,45,No,Travel_Rarely,Consultants,3,Male,4,Single,3452,5,No,13,3,40.0,9,2,2,6,5,0,3
4923,38,No,Travel_Rarely,Consultants,5,Female,3,Single,4317,3,Yes,20,4,47.0,19,2,3,3,2,2,2
1949,30,No,Travel_Rarely,Consultants,3,Female,3,Single,2632,1,No,14,3,40.0,5,4,2,5,4,0,4
4946,32,No,Travel_Frequently,Sales,2,Male,4,Divorced,4668,0,No,17,3,40.0,9,2,4,8,7,0,7
2290,30,No,Travel_Rarely,Consultants,3,Female,1,Divorced,3204,5,No,14,3,40.0,8,3,3,3,2,2,2
2403,30,No,Travel_Rarely,Consultants,1,Male,4,Single,2720,0,No,13,3,40.0,6,3,3,5,3,1,2
8962,41,No,Travel_Frequently,Consultants,3,Male,1,Divorced,17181,4,No,13,3,40.0,21,2,2,7,6,7,7
2133,41,No,Travel_Rarely,Consultants,4,Male,1,Married,2238,2,No,21,4,40.0,7,2,3,5,0,1,4
9727,19,No,Travel_Rarely,Consultants,1,Female,2,Single,1483,1,No,14,3,40.0,1,3,3,1,0,0,0
3060,40,No,Travel_Frequently,Consultants,3,Female,2,Divorced,5605,1,No,11,3,40.0,20,2,3,20,7,2,13
3103,35,No,Travel_Rarely,Sales,5,Male,2,Married,7295,1,No,13,3,40.0,10,3,3,10,8,0,6
8787,53,No,Travel_Rarely,Sales,2,Male,3,Married,2306,2,Yes,20,4,67.0,13,3,1,7,7,4,5
3705,45,No,Travel_Rarely,Consultants,3,Male,2,Divorced,2348,8,No,18,3,40.0,20,2,1,17,9,0,15
5342,32,No,Travel_Frequently,Sales,3,Female,4,Single,8998,1,No,14,3,40.0,9,2,3,9,8,3,7
9645,29,No,Non-Travel,Consultants,1,Male,3,Married,4319,1,No,13,3,40.0,10,1,3,10,7,0,9
7932,51,No,Travel_Rarely,Consultants,4,Male,3,Married,6132,2,No,17,3,40.0,10,2,3,1,0,0,0
4470,58,No,Travel_Rarely,Consultants,3,Female,2,Married,3346,4,Yes,20,4,51.0,9,3,2,1,0,0,0
9835,40,No,Travel_Rarely,Sales,4,Male,4,Married,10855,7,No,11,3,40.0,15,2,2,12,11,2,11
4295,34,No,Travel_Frequently,Sales,4,Female,3,Married,2231,6,No,18,3,40.0,6,3,3,4,3,1,2
6107,22,No,Travel_Rarely,Consultants,1,Male,4,Married,2323,1,No,24,4,40.0,2,6,3,2,2,2,2
7537,27,No,Non-Travel,Consultants,3,Male,2,Divorced,2024,6,No,18,3,40.0,6,1,1,2,2,2,2
7118,28,No,Travel_Rarely,Consultants,3,Male,4,Married,2713,1,No,11,3,40.0,5,2,1,5,2,0,2
8177,57,No,Travel_Rarely,Consultants,2,Male,4,Divorced,9439,3,Yes,16,3,69.0,12,2,1,5,3,1,4
9479,27,No,Non-Travel,Consultants,3,Male,3,Divorced,2566,1,Yes,15,3,52.0,1,2,2,1,1,0,1
8397,50,No,Travel_Rarely,Consultants,3,Female,2,Single,19926,3,No,15,3,40.0,21,5,3,5,4,4,4
2982,41,No,Travel_Rarely,Consultants,3,Male,3,Divorced,2451,4,No,12,3,40.0,13,2,3,9,8,1,8
5061,30,No,Travel_Rarely,Sales,3,Female,4,Married,9419,2,No,12,3,40.0,12,2,3,10,9,7,4
4681,38,No,Travel_Rarely,Sales,4,Female,4,Single,8686,4,No,22,4,40.0,12,2,4,8,3,0,7
2049,32,No,Travel_Rarely,Consultants,5,Male,3,Single,3038,3,No,20,4,40.0,8,2,3,5,4,1,4
6539,27,No,Travel_Rarely,Consultants,3,Male,2,Married,3058,0,Yes,16,3,55.0,6,3,2,5,2,1,1
1344,19,Yes,Travel_Frequently,Sales,1,Female,1,Single,2325,0,No,21,4,40.0,1,5,4,0,0,0,0
4770,36,No,Travel_Frequently,Consultants,2,Male,2,Single,2088,4,No,12,3,40.0,13,3,2,8,7,7,2
4608,30,No,Non-Travel,Consultants,3,Male,1,Divorced,3072,1,No,11,3,40.0,12,4,3,12,9,6,10
1117,45,No,Travel_Rarely,Sales,2,Female,1,Divorced,5006,4,Yes,11,3,46.0,9,3,4,5,4,0,3
2163,56,No,Travel_Rarely,Consultants,3,Female,1,Divorced,4257,4,Yes,18,3,50.0,19,3,3,2,2,2,2
1964,33,No,Travel_Rarely,Consultants,3,Male,4,Single,2500,0,No,14,3,40.0,4,2,4,3,1,0,2
4750,19,Yes,Travel_Rarely,Consultants,3,Male,4,Single,1102,1,No,22,4,40.0,1,3,2,1,0,1,0
2104,46,No,Travel_Rarely,Sales,2,Female,1,Divorced,10453,1,No,25,4,40.0,24,2,3,24,13,15,7
1514,38,No,Travel_Rarely,Consultants,2,Female,4,Single,2288,1,No,12,3,40.0,2,3,3,2,2,2,1
6413,31,No,Travel_Rarely,Consultants,1,Female,4,Married,3929,8,Yes,23,4,48.0,7,0,3,4,2,0,2
2160,34,No,Travel_Rarely,Consultants,2,Female,2,Single,2311,2,No,15,3,40.0,9,3,3,3,2,1,2
9423,41,Yes,Travel_Rarely,Sales,2,Female,2,Single,3140,1,Yes,22,4,53.0,4,5,2,4,3,0,2
4899,50,No,Travel_Rarely,Consultants,3,Male,3,Married,3690,2,No,15,3,40.0,5,2,2,3,2,0,2
5562,53,No,Travel_Rarely,Consultants,2,Female,1,Divorced,4450,1,No,11,3,40.0,5,3,3,4,2,1,3
8953,33,No,Travel_Rarely,Consultants,3,Female,2,Married,2756,1,No,13,3,40.0,8,5,3,8,7,1,6
4510,40,No,Travel_Rarely,Consultants,1,Female,3,Married,19033,1,No,14,3,40.0,21,2,3,20,8,9,9
3167,55,No,Travel_Rarely,Consultants,4,Male,2,Single,18722,8,No,11,3,40.0,36,3,3,24,15,2,15
8744,34,No,Travel_Frequently,Consultants,1,Male,3,Married,9547,1,No,17,3,40.0,10,2,2,10,9,1,9
4981,51,No,Travel_Rarely,Consultants,3,Female,2,Single,13734,3,No,18,3,40.0,21,6,3,7,7,1,0
8749,52,No,Travel_Rarely,Consultants,4,Male,3,Married,19999,0,No,14,3,40.0,34,5,3,33,18,11,9
7669,27,No,Travel_Rarely,Consultants,3,Female,2,Single,2279,1,No,16,3,40.0,7,2,2,7,7,0,3
4119,35,Yes,Travel_Rarely,Consultants,2,Male,3,Married,5916,3,Yes,13,3,50.0,8,1,3,1,0,0,1
2545,43,No,Non-Travel,Consultants,3,Male,4,Divorced,2089,4,No,14,3,40.0,7,3,4,5,4,2,2
2588,45,No,Non-Travel,Consultants,2,Male,4,Married,16792,9,No,23,4,40.0,22,1,3,20,8,11,8
8062,37,No,Travel_Rarely,Consultants,3,Male,1,Married,3564,1,Yes,12,3,52.0,8,3,2,8,7,1,7
6804,35,No,Travel_Frequently,Consultants,3,Female,2,Single,4425,5,No,11,3,40.0,10,5,3,6,2,1,2
7939,42,No,Non-Travel,Consultants,2,Female,3,Divorced,5265,2,No,16,3,40.0,11,5,3,5,3,0,2
7735,38,No,Travel_Rarely,Consultants,4,Male,3,Married,6553,9,No,14,3,40.0,14,3,3,1,0,0,0
8651,38,No,Travel_Rarely,Consultants,3,Male,4,Married,6261,3,No,18,3,40.0,9,3,1,7,7,1,7
1887,27,No,Travel_Frequently,Consultants,1,Male,1,Married,4298,5,No,19,3,40.0,6,1,3,2,2,2,0
2612,49,No,Non-Travel,Consultants,4,Male,4,Divorced,6804,1,Yes,15,3,48.0,7,0,3,7,7,1,7
1993,34,No,Travel_Frequently,Consultants,4,Male,3,Divorced,3815,1,Yes,17,3,45.0,5,4,4,5,3,2,0
7596,40,No,Travel_Rarely,Consultants,2,Male,4,Married,2741,8,Yes,15,3,46.0,15,2,4,7,2,3,7
6559,38,Yes,Travel_Rarely,Consultants,1,Male,1,Married,6673,7,Yes,19,3,50.0,17,2,3,1,0,0,0
2790,29,Yes,Travel_Rarely,Sales,3,Female,4,Married,7639,1,No,22,4,40.0,10,3,2,10,4,1,9
5073,22,No,Travel_Rarely,Consultants,3,Male,2,Divorced,2328,1,Yes,16,3,53.0,4,2,2,4,2,2,2
4139,36,No,Travel_Frequently,Consultants,1,Female,4,Single,2153,1,No,13,3,40.0,8,2,3,8,1,1,7
4116,40,No,Non-Travel,Consultants,5,Male,4,Married,4876,9,No,14,3,40.0,5,5,1,3,2,0,2
9786,46,No,Travel_Rarely,Consultants,4,Male,1,Divorced,9396,7,No,16,3,40.0,17,3,3,4,2,0,3
8350,32,Yes,Travel_Rarely,Sales,4,Male,4,Married,10400,1,No,11,3,40.0,14,2,2,14,8,9,8
3296,30,No,Non-Travel,Consultants,1,Male,3,Single,8474,1,No,22,4,40.0,12,2,3,11,8,5,8
9989,27,No,Travel_Frequently,Sales,3,Female,3,Single,9981,1,No,14,3,40.0,7,2,3,7,7,0,7
4006,51,No,Travel_Rarely,Consultants,4,Male,2,Married,12490,5,No,16,3,40.0,16,5,1,10,9,4,7
5563,30,Yes,Travel_Rarely,Consultants,3,Female,1,Single,2657,5,Yes,11,3,51.0,8,5,3,5,2,0,4
8579,41,No,Travel_Rarely,Sales,3,Female,4,Single,13591,3,Yes,18,3,49.0,16,3,3,1,0,0,0
5092,30,Yes,Travel_Frequently,Sales,4,Female,1,Single,6696,5,No,15,3,40.0,9,5,2,6,3,0,1
2235,29,Yes,Travel_Rarely,Consultants,3,Male,3,Single,2058,0,No,14,3,40.0,7,1,2,6,2,1,5
8260,45,No,Non-Travel,Sales,3,Female,4,Single,8865,6,No,12,3,40.0,23,2,3,19,7,12,8
2604,54,No,Travel_Rarely,Sales,3,Female,1,Married,5940,2,No,14,3,40.0,16,4,3,6,2,0,5
1828,36,No,Travel_Rarely,Consultants,2,Male,2,Single,5914,8,No,16,3,40.0,16,3,4,13,11,3,7
1241,33,No,Travel_Rarely,Consultants,4,Female,2,Married,2622,6,No,21,4,40.0,7,3,3,3,2,1,1
2528,37,No,Travel_Frequently,Consultants,3,Male,4,Divorced,12185,1,Yes,14,3,48.0,10,1,3,10,8,0,7
